"station","show","show_date","text"
"MSNBC","Morning Joe",2012-10-29 10:00:00,"that doesn't happen often does it it's pretty eerie and frightening out there right now obviously we've had a lot of strange weather i've asked my hurricanologist at the earth institute what's going on is this climate change that doesn't happen often does it it's pretty eerie and frightening out there right now obviously we've had a lot of strange weather i've asked my hurricanologist at the earth institute what's going on is this climate change they're too scared of the natural gas companies they don't want to say a word that's it it's simple they won't talk about climate change they're too scared of the natural gas companies they don't want to say a word that's it it's simple they won't talk about climate change"
"CNN","EarlyStart",2012-10-31 09:00:00,"what do you think i think it's absurd i think that climate change activists make an argument and i think it's a fair one that when someone who denies manmade climate change points to well this was a cold summer in florida reconcile that with global climate change it's totally nonsense this by the same logic is anecdotal and nonsense you cannot point to one storm and go well this is clearly climate change now what do you think i think it's absurd i think that climate change activists make an argument and i think it's a fair one that when someone who denies manmade climate change points to well this was a cold summer in florida reconcile that with global climate change it's totally nonsense this by the same logic is anecdotal and nonsense you cannot point to one storm and go well this is clearly climate change now"
"MSNBC","Martin Bashir",2012-10-31 20:00:00,"representative debbie wasserman schultz thank you so much and let's bring in from boston congressman ed markey of massachusetts good afternoon sir i want to get your reaction to this on the issue of climate change now as you know climate change is at our door good afternoon sir i want to get your reaction to this on the issue of climate change now as you know climate change is at our door sometimes the gop seems to find it the funniest thing on earth but how does a country fight climate change when it's still trying to convince majorities in the house that it even exists well governor romney did believe in climate change when he was the governor of massachusetts representative debbie wasserman schultz thank you so much and let's bring in from boston congressman ed markey of massachusetts good afternoon sir i want to get your reaction to this on the issue of climate change now as you know climate change is at our door good afternoon sir i want to get your reaction to this on the issue of climate change now as you know climate change is at our door sometimes the gop seems to find it the funniest thing on earth but how does a country fight climate change when it's still trying to convince majorities in the house that it even exists well governor romney did believe in climate change when he was the governor of massachusetts"
"FOX News","The OReilly Factor",2012-11-01 00:00:00,"natural factors are a major major driver but to ignore the factors of climate change we do that at our peril coastal residents in florida get this people in new york city they are studying this they have climate change"
"MSNBC","The Rachel Maddow Show",2012-11-01 01:00:00,"what is that predictability that balanced and expectation developed over the past couple of centuries and these cities on the water is now over mostly this gets talked about in terms of the people denying that climate change is a real thing and big talk about whether we should try to stop climate change and global warming but that may be getting resolved otherwise as officials responsible for the 60 million americans who live on the edge of our country are just starting a practical discussion about there being a change in the frequency of extreme weather climate change is climate change is a controversial subject right what is that predictability that balanced and expectation developed over the past couple of centuries and these cities on the water is now over mostly this gets talked about in terms of the people denying that climate change is a real thing and big talk about whether we should try to stop climate change and global warming but that may be getting resolved otherwise as officials responsible for the 60 million americans wholy lyive on the edge of our country are just starting a practical discussion about there being a change in the frequency of extreme weather climate change is climate change is a controversial subject right"
"MSNBC","The Rachel Maddow Show",2012-11-01 04:00:00,"what is that predictability that balanced and expectation developed over the past couple of centuries and these cities on the water is now over mostly this gets talked about in terms of the people denying that climate change is a real thing and big talk about whether we should try to stop climate change and global warming but that may be getting resolved otherwise as officials responsible for the 60 million americans who live on the edge of our country are just starting a practical discussion about there being a change in the frequency of extreme weather climate change is climate change is a controversial subject right what is that predictability that balanced and expectation developed over the past couple of centuries and these cities on the water is now over mostly this gets talked about in terms of the people denying that climate change is a real thing and big talk about whether we should try to stop climate change and global warming but that may be getting resolved otherwise as officials responsible for the 60 million americans who live on the edge of our country are just starting a practical discussion about there being a change in the frequency of extreme weather climate change is climate change is a controversial subject right"
"MSNBC","Martin Bashir",2012-11-01 20:00:00,"infrastructure the president had a jobs bill that provided infrastructure we all now understand how important infrastructure is they blocked him on that climate change infrastructure the president had a jobs bill that provided infrastructure we all now understand how important infrastructure is they blocked him on that climate change one believes in a woman's right to choose the other doesn't says mr bloomberg one believes in marriage equality one believes that climate change is real one believes in a woman's right to choose the other doesn't says mr bloomberg one believes in marriage equality one believes that climate change is real"
"CNN","The Situation Room",2012-11-01 20:00:00,"and also he focused on climate change which i thought was interesting right it comes after this huge storm and there's a big fight going on right now and the scientists are out there saying listen this is climate change these sort of huge storms we haven't seen the likes of before this is the result of climate change and also he focused on climate change which i thought was interesting right it comes after this huge storm and there's a big fight going on right now and the scientists are out there saying listen this is climate change these sort of huge storms we haven't seen the likes of before this is the result of climate change"
"FOX News","The Five",2012-11-01 21:00:00,"so linking global warming and climate change to hurricanes is sophistication possibly dishonest it want to be fair and balanced because the's what we do here i want to run o'reilly had climate change expert on trying to prove that climate change caused the hurricane four things we have sea level rise caused by climate change greg what he is saying from the 50 to 64 ten major hurricane so there is less hurricane activity than now so linking global warming and climate change to hurricanes is sophistication possibly dishonest it want to be fair and balanced because the's what we do here i want to run o'reilly had climate change expert on trying to prove that climate change caused the hurricane bob it is eric greg points something out the timing of this enforcement of president obama and anything insidious about that dana this is silly i do think it basically a way to say don't blame me for the fact that you have all the problems now let's do climate change when is the last time people lost power eric a year ago bob because of a hurricane it's a god given phenomena greg i thought it was climate change eric bob guess what go outside apparently shovel ready was shovel bob listen mayor bloomberg failed if romney had been mayor of new york would things have been different dana he would haven't blamed climate change it's okay there but not here being politically expedient again bob there are 77 people dead romney and his people talk about how obama was not prepared greg you talk about climate change"
"FOX News","The Five",2012-11-02 06:00:00,"so linking global warming and climate change to hurricanes is sophistication possibly dishonest it want to be fair and balanced because the's what we do here i want tun o'reilly had climate change expert on trying to prove that climate change caused the hurricane four things we have sea level rise caused by climate change greg what he is saying from the 50 to 64 ten major hurricane so there is less hurricane activity than now so linking global warming and climate change to hurricanes is sophistication possibly dishonest it want to be fair and balanced because the's what we do here i want tun o'reilly had climate change expert on trying to prove that climate change caused the hurricane bob it is eric greg points something out the timing of this enforcement of president obama and anything insidious about that dana this is silly i do think it basically a way to say don't blame me for the fact that you have all the problems now let's do climate change when is the last time people lost power eric a year ago bob because of a hurricane it's a god given phenomena greg i thought it was climate change eric bob guess what go outside apparently shovel ready was shovel bob listen mayor bloomberg failed if romney had been mayor of new york would things have been different dana he would haven't blamed climate change it's okay there but not here being politically expedient again bob there are 77 people dead romney and his people talk about how obama was not prepared greg you talk about climate change"
"MSNBC","The Ed Show",2012-11-02 07:00:00,"one does not i want our president to place scientific evidence at risk management above electoral politics if you want to see what putting electoral politics over scientific evidence and risk management looks like here it is what about climate that's what caused this monster storm climate change one does not i want our president to place scientific evidence at risk management above electoral politics if you want to see what putting electoral politics over scientific evidence and risk management looks like here it is what about climate that's what caused this monster storm climate change what about climate that's what caused this monster storm climate change once again mitt romney doesn't say a word because in conservative crowds the science of climate change is just too controversial climate change is something that you can just heckle right on out of the room what about climate that's what caused this monster storm climate change once again mitt romney doesn't say a word because in conservative crowds the science of climate change is just too controversial climate change is something that you can just heckle right on out of the room"
"MSNBC","Morning Joe",2012-11-02 10:00:00,"gene robinson with us down in washington you're writing gene will hurricane sandy be our wake up call you walk to talk through that a little bit yeah i'm writing about climate change gene robinson with us down in washington you're writing gene will hurricane sandy be our wake up call you walk to talk through that a little bit yeah i'm writing about climate change"
"MSNBC","Weekends With Alex Witt",2012-11-03 11:00:00,"in just a few minutes we're going to get a snapshot of early voting is it a preview of things to come on tuesday meantime somewhat of a bombshell new york mayor michael bloomberg threw his support behind president obama this week his reasons climate change in just a few minutes we're going to get a snapshot of early voting is it a preview of things to come on tuesday meantime somewhat of a bombshell new york mayor michael bloomberg threw his support behind president obama this week his reasons climate change"
"MSNBC","News Nation",2012-11-03 20:00:00,"he joins me now what were you thinking when you posed that question well i think to a lot of minds this storm when it came through was sort of a teachable moment as it results to climate change but there was also this internal quibbling over does this can we tie this particular storm to climate change do we have proof that climate change is happening he joins me now what were you thinking when you posed that question well i think to a lot of minds this storm when it came through was sort of a teachable moment as it results to climate change but there was also this internal quibbling over does this can we tie this particular storm to climate change do we have proof that climate change is happening"
"MSNBC","Up W Chris Hayes",2012-11-11 13:00:00,"this is amateur hour for super pacs nobody knows how to use this money they are just making it up as they go along i don't think big money lost across the board climate change where was it this is amateur hour for super pacs nobody knows how to use this money they are just making it up as they go along i don't think big money lost across the board climate change where was it"
"MSNBC","MSNBC Live",2012-11-11 20:00:00,"we have to internalize those costs so that they're represented in the energy making decisions senator major leader harry reid spoke to climate change on wednesday take a listen to what he had to say i want to talk about it on the other side climate change is an extremely important issue for me we have to internalize those costs so that they're represented in the energy making decisions senator major leader harry reid spoke to climate change on wednesday take a listen to what he had to say i want to talk about it on the other side climate change is an extremely important issue for me"
"MSNBC","NOW With Alex Wagner",2012-11-12 17:00:00,"there were many republicans that came out and pushed back on the rape comments there were many republicans that come out and believe that there is climate change not many what you said is republicans in general and that's not fair and here's why me being a black gay conservative i'm not one of those who believe that the body can quote unquote shut those things down i believe in climate change there were many republicans that came out and pushed back on the rape comments there were many republicans that come out and believe that there is climate change not many what you said is republicans in general and that's not fair and here's why me being a black gay conservative i'm not one of those who believe that the body can quote unquote shut those things down i believe in climate change"
"MSNBC","The Rachel Maddow Show",2012-11-13 02:00:00,"he's governor of washington state today andrew cuomo came out and said he will be asking for 30 billion for new york state in storm relief that money would be in part to shore up new york's infrastructure so it can withstand storms of increased frequency and increased severity due to climate change so while the new governor of washington will be out fighting climate change the governor of new york is asking for money to make us more resilient to damage from climate change maybe even climate change heading off further climate change maybe that could be in the realm of possibility for a second term he's governor of washington state today andrew cuomo came out and said he will be asking for 30 billion for new york state in storm relief that money would be in part to shore up new york's infrastructure so it can withstand storms of increased frequency and increased severity due to climate change so while the new governor of washington will be out fighting climate change the governor of new york is asking for money to make us more resilient to damage from climate change maybe even climate change heading off further climate change maybe that could be in the realm of possibility for a second term"
"FOX News","The Five",2012-11-14 22:00:00,"greg you do tomorrow bob you bring in your side that shows no climate change as a result climate change but not necessarily attributed to manmade actions bob climate change is climate change bob you bring in your side that shows no climate change as a result climate change but not necessarily attributed to manmade actions bob climate change is climate change greg you are avoiding the point here said that climate change cannot be attributed to any weather event bob if you want me to bring in scientific research greg you do tomorrow bob you bring in your side that shows no climate change as a result climate change but not necessarily attributed to manmade actions there was an opportunity to press him on issues vital to all americans national security economy and taxes but others did not what specifically do you plan to do in the secondtorium tackle the issue of climate change a do you think the political will exists in washington to pass legislation that could include some kind of aa tax on carbon you know mark we can't attribute any particular weather event to climb climate change well i guess he is giving up on climate change"
"MSNBC","MSNBC Live",2012-11-15 16:00:00,"our thursday power panel my thanks to all three of you thanks if the message is somehow we're going to ignore jobs and growth simply to address climate change i don't think anybody will go for that climate change on the back burner our thursday power panel my thanks to all three of you thanks if the message is somehow we're going to ignore jobs and growth simply to address climate change i don't think anybody will go for that climate change on the back burner"
"FOX News","America Live",2012-11-15 18:00:00,"i knew that sitting in this anchor chair they my that they are the white house press corps you are telling me these are all issues that matter to some americans climate change immigration and so on"
"MSNBC","Melissa Harris-Perry",2012-11-17 15:00:00,"health care reform was important us we got a shot we want real immigration reform we want education reform we want a real climate change policy health care reform was important us we got a shot we want real immigration reform we want education reform we want a real climate change policy"
"MSNBC","Weekends With Alex Witt",2012-11-17 17:00:00,"congress is asleep at the wheel saying we're winning the war orr on terror we may be creating more people with inspiration to commit acts of terrorism in countries americans haven't heard of thank you so much appreciate your time tackling climate change congress is asleep at the wheel saying we're winning the war orr on terror we may be creating more people with inspiration to commit acts of terrorism in countries americans haven't heard of thank you so much appreciate your time tackling climate change"
"MSNBC","PoliticsNation",2012-11-28 23:00:00,"congressman jeb hensarling his main campaign contributor financial services industry no conflict of interest there and nothing says science space and technology like representative lamar smith he's a climate change skept particular"
"FOX News","Red Eye",2012-12-11 08:00:00,"we talk about in the late 60s talking about starvation we figured that out there are problems i myself have solved we have clearly solved starvation we have solved climate change"
"CNN","CNN Newsroom",2012-12-12 17:00:00,"look i think i'm slightly biased one way more than the other but i'm not going to push out 50 of the people watching your program right now all right i think that as far as things like climate change which i happen to believe is an issue and as far as social issues which i feel passionately about i do think that obama in his second term has a chance of really making a difference and i'm sure some issues that the republicans have these kinds of issues are not as high a priority for them as perhaps they should be last question climate change"
"FOX News","Stossel",2012-12-24 20:00:00,"gregg thanks for watching everyone i am greg jarret heather stossel starts right now biological attack is possible swine flu panic grips the nation climate change is killing people"
"MSNBC","Hardball With Chris Matthews",2012-12-27 22:00:00,"ryan grim thank you you have been great glen you're so smart happy new year up next can you say climate change"
"MSNBC","PoliticsNation",2012-12-27 23:00:00,"john mcccain said this interesting it has interestingly become clear that the party is against everything and for nothing nothing on taxes to you nothing on gun control nothing on climate change"
"FOX News","Stossel",2012-12-30 06:00:00,"we want to thank everybody for watching and being with us stos right now biological attack is possible swine flu panic grips the nation climate change is killing people"
"MSNBC","The Daily Rundown",2013-01-10 14:00:00,"no one needs ten bullets to kill a deer and too many innocent people have died already and t end the madness now environmental groups applauded this line from cuomo on climate change climate change is real no one needs ten bullets to kill a deer and too many innocent people have died already and the end the madness now environmental groups applauded this line from cuomo on climate change climate change is real"
"MSNBC","Jansing and Co",2013-01-14 15:00:00,"the next couple of nights will be critical record low temperatures in california are just the latest in a string of extreme weather events this follows a new report that warns about the impact of climate change richard lui is here with this chris they're looking at climate change"
"MSNBC","PoliticsNation",2013-01-17 23:00:00,"the president told america the best is yet to come and judging by his second term agenda his se's setting his si high sweeping change to gun control immigration reform taking on climate change the president told america the best is yet to come and judging by his second term agenda his se's setting his si high sweeping change to gun control immigration reform taking on climate change"
"CNN","The Presidential Inauguration",2013-01-20 15:00:00,"joe as you look at as you look at president obama and you look at his agenda gun control immigration reform climate change got to get through all the fiscal problems first i mean is that overreach i don't think so there are things that he has to do climate change is a really difficult issue joe as you look at as you look at president obama and you look at his agenda gun control immigration reform climate change got to get through all the fiscal problems first i mean is that overreach i don't think so there are things that he has to do climate change is a really difficult issue"
"CNN","Piers Morgan Tonight",2013-01-21 08:00:00,"not just to the country but their own party and hopefully getting a different attitude what are the other priorities in a second term i was putting down on paper earlier economy obviously you might have climate change"
"MSNBC","Presidential Inauguration 2013",2013-01-21 15:00:00,"ending the war in afghanistan immigration reform gun reform agenda reform and climate change"
"FOX News","The Five",2013-01-21 22:00:00,"we will be in for kimberly well on his way well on his way bob what do you disagree with dana energy job climate change eric climate change"
"CNN","The Presidential Inauguration",2013-01-22 07:00:00,"we're joined by our panel we were talking about before climate change"
"MSNBC","PoliticsNation",2013-01-22 23:00:00,"let's find out what real scientists think about it a study by the u.n s intergovernmental panel on climate change found a 90 probability that the humans are the main cause of global warming and more than 97 of climate researchers yes real researchers surveyed by the u.s academy of science thinks humans are causing climate change folks unlike the politicsnation science lab this issue is real climate change needs to be addressed"
"MSNBC","Morning Joe",2013-01-23 11:00:00,"there's a whole handful of others and again here's a good example you look at the president's three priorities that he laid out at the inauguration in his inaugural speech climate change"
"CNN","Erin Burnett OutFront",2013-01-24 07:00:00,"they're misleading the american public thank you still to come we're facing some of the coldest temperatures in years in this country some scientists say it's due to global warming climate change they're misleading the american public thank you still to come we're facing some of the coldest temperatures in years in this country some scientists say it's due to global warming climate change"
"FOX News","FOX and Friends",2013-01-24 11:00:00,"they're pouring all that water onto that fire and it's all going to become icicles the stuff that doesn't work on dousing the fire alisyn usually graffiti is ad about things so why are these construction workers being encourage to do scribble all overt world trade center brian then the president's biggest supporters think he's capable of magic the second time around climate change steve but it will still be there thanks brian he may have just been sworn in but the president supporters already have high hopes and think he can pass a magical liberal agenda in his second term i feel good that we've reelected obama climate change"
"MSNBC","Weekends With Alex Witt",2013-01-26 17:00:00,"revamp our tax code reduce the cost of health care medicare and medicaid and social security they do not make us a nation of takers the threat of climate change"
"FOX News","Stossel",2013-01-26 20:00:00,"but they weren't looking for brains they were looking for their hero to worship watching your interviews i got the sense that there are still people who think a president and this president owe specially is magic a politician can solve everything i feel good we have elected obama climate change climate change see you next week with another edition of fox news watch this week watching the inauguration i wondered did we elect ta king john adams suggested george washington be called his most benign hine necessary congress insisted on a more modest title the people cheering the president this week acted like he will make everything better climate change an entire group of people that can appropriately be called obama zombies but they weren't looking for brains they were looking for their hero to worship watching your interviews i got the sense that there are still people who think a president and this president owe specially is magic a politician can solve everything i feel good we have elected obama climate change"
"MSNBC","Melissa Harris-Perry",2013-01-27 15:00:00,"is there any way to get us refocused on international inner generational sustainable and international climate change we all have skin and neck in it polls show 49 of americans believe that climate change is occurring and that people have caused it 24 say it's climate change but not from people is there any way to get us refocused on international inner generational sustainable and international climate change we all have skin and neck in it polls show 49 of americans believe that climate change is occurring and that people have caused it 24 say it's climate change but not from people the thing i love and hate about that story is yep that's exactly the problem we can't make big sustainable international green policy because we are fighting literally fighting over islands sinking into the ocean here too we are continuing to fight over all these policy questions and politics questions and missing the big story the big story that is affecting all of us is there any way to get us refocused on international inner generational sustainable and international climate change"
"FOX News","FOX and Friends First",2013-01-29 10:00:00,"that man and the pilot were rescued after 30 minutes they are expected to be okay global warming has been over stated for the last 20 years an early draft of the u.n climate change report shows a chart shows four temperature models the intergovernmental panel on climate change has published since 1990"
"FOX News","The OReilly Factor",2013-01-31 01:00:00,"you are telling me hurricane sandy was caused by global warming i think there scientists and many that bill you think there are scientists i thought that you climate change"
"FOX News","The OReilly Factor",2013-01-31 09:00:00,"you are telling me hurricane sandy was caused by global warming i think there is is scientists and many that bill you think there are scientists i thought that you climate change"
"FOX News","Your World With Neil Cavuto",2013-02-05 21:00:00,"some europeans have cheered kerry's confirmation that shows the united states is ready to affect climate change the president promised to responsible to the threat of climate change but provided few specifics how it's unlikely a large cap and trade will leave congress leaving the president with the option of denying a canadian company's permit to build the keystone pipeline through the united states the state department now under kerry's leadership has yet to approve or disease nye that pipeline's construction want to battle climate change"
"CNN","Piers Morgan Tonight",2013-02-10 05:00:00,"certainly felt more rain more wind stronger gusts i've never in 26 years of forecasting have seen anything like this they are being called superstorms fueled by changing climate higher temperatures and rising sea levels climate change is real certainly felt more rain more wind stronger gusts i've never in 26 years of forecasting have seen anything like this they are being called superstorms fueled by changing climate higher temperatures and rising sea levels climate change is real"
"CNN","Piers Morgan Tonight",2013-02-10 08:00:00,"it's our job to look after them it's my job to look after it they are being called superstorms fueled by changing climate higher temperatures and rising sea levels climate change is real"
"CNN","Piers Morgan Tonight",2013-02-10 10:00:00,"ems and fire were coming out with the boy at this point around this point i got a good look at his face eyes were rolled back in his head i've seen that look before climate change is real ems and fire were coming out with the boy at this point around this point i got a good look at his face eyes were rolled back in his head i've seen that look before climate change is real"
"FOX News","Hannity",2013-02-13 04:00:00,"that is going to be on saturday night live very different competing visions here you're group picked up on the government fix it first program the 3,000 mortgage program invest in education technology new information climate change"
"MSNBC","NOW With Alex Wagner",2013-02-13 17:00:00,"but maybe some talk of gun violence these three stops a mirror of the state of the union and carrying on what he just did at the end of that speech in asheville which is basically appealing to the people he's speaking to over the heads of congress listen if congress can't get it done i'm looking at executive orders with climate change chuck you were they have to go over the top on whatever the initial offer is on both sides it's a stupid way to go keep in mind tax reform is something that has bipartisan support immigration is something that republicans have supported in the past same with climate change"
"FOX News","The Five",2013-02-13 22:00:00,"common sense reform minimum wage and our fair share manufacturered crisis gun violence climate change"
"MSNBC","Hardball With Chris Matthews",2013-02-15 22:00:00,"he stood against george w bush on the torture policy which was also a party call this was something they all were unified on you're so smart i learn more boy the way stood against the party on funding went against the right wing church groups and everybody all the ideologues on the right hated that law and climate change too"
"MSNBC","Hardball With Chris Matthews",2013-02-16 00:00:00,"he stood against george w bush on the torture policy which was also a party call this was something they all were unified on you're so smart i learn more by the way stood against the party on funding went against the right wing church groups and everybody all the ideologues on the right hated that law and climate change too"
"MSNBC","Up W Chris Hayes",2013-02-17 13:00:00,"we have to think harder about the dangerous possibilities by treating the middle class as if it's a monologue bond is willing to go to jail for climate change naacp has a climate justice program whether it's voting rights or climate change they are working together to protect your basic rights people ask what can i do to tackle climate change we have to think harder about the dangerous possibilities by treating the middle class as if it's a monologue bond is willing to go to jail for climate change naacp has a climate justice program whether it's voting rights or climate change they are working together to protect your basic rights people ask what can i do to tackle climate change"
"MSNBC","Weekends With Alex Witt",2013-02-17 17:00:00,"do they have to weigh the climate change against the economy in recovery could that hurt jobs out there this is absolutely an economic economy the president and congress the president it seems clear he wants to act on climate change do they have to weigh the climate change against the economy in recovery could that hurt jobs out there this is absolutely an economic economy the president and congress the president it seems clear he wants to act on climate change"
"MSNBC","MSNBC Live",2013-02-17 20:00:00,"i appreciate it you do a great job all the best on to other top political headlines climate change advocates are rallying i appreciate it you do a great job all the best on to other top political headlines climate change advocates are rallying"
"CNN","CNN Newsroom",2013-02-18 14:00:00,"why not the president fueled the fire we can choose to believe super storm sandy and the worst drought and wildfires were all a freak coincidence or we can choose to believe in the overwhelming judgment of science and act before it's too late the climate change activist held note of climate change skeptics now that's a pill worth taking male announcer ocuvite help protect your eye health onto our section talk back question is now the time for climate change legislation in washington climate change activists billed it ads the largest climate change rally in history male announcer ocuvite help protect your eye health onto our section talk back question is now the time for climate change legislation in washington climate change activists billed it ads the largest climate change rally in history why not the president fueled the fire we can choose to believe super storm sandy and the worst drought and wildfires were all a freak coincidence or we can choose to believe in the overwhelming judgment of science and act before it's too late the climate change activist held note of climate change skeptics it's not going to price out you and me that's the purpose of it right set against the background of what we just saw a draft memo a couple of weeks ago the international panel on climate change and prediction in temperature increases were wildly overstated as they have been the last 20 years now is not the time for climate change it will most likely add to our collusion problem which in part causes global warming that pipeline will create jobs and further energy independence and yeah gas prices are now 3.73 a gallon is now the time for climate change legislation yes obama can do a lot about climate change i would first ask for everybody to put up their hands on this panel if they believe is man is the biggest factork factor contributing to climate change no we're not all putting our hands up that is what is sad about this republicans and only republicans don't believe in science climate change is the biggest threat outside the nuclear holocaust that is what is sad about this republicans and only republicans don't believe in science climate change is the biggest threat outside the nuclear holocaust they don't believe that science is embarrassing and it's horrific it is now the time to address climate change"
"CNN","Starting Point",2013-03-05 12:00:00,"superstorm sandy we're going to talk about that the nor'easter that hit the east coast are all these things a sign of climate change a new movie looks at the power of those denying climate change"
"MSNBC","NOW With Alex Wagner",2013-03-15 16:00:00,"he had a meeting with congressional democrats yesterday henry waxman would not let him get out of the room without answering questions about climate change good for him i think when people go in to meet with obama in private he talks about what he wants to do he always goes back to climate change"
"MSNBC","The Rachel Maddow Show",2013-03-16 10:00:00,"he went right to climate change came before immigration before he talked about detail in war even he did the same thing during his state of the union address less than a month later after first tackling the economy he went directly to climate change"
"FOX News","Red Eye",2013-03-24 03:00:00,"he was stupid about it bipolar log on there are bisexual pola polar s there as well what is going on climate change"
"FOX News","Red Eye",2013-03-24 06:00:00,"he was stupid about it bipolar log on there are bisexual polar polar bears there as well what is going on climate change"
"CNN","Starting Point",2013-03-26 11:00:00,"not that long uh huh editorial director of digital features at the wall street journal and gloria ruben actress and philanthropist where do you focus your philanthropy climate change"
"FOX News","Americas Newsroom",2013-03-29 13:00:00,"good morning to you good morning bill bill why would the president want this and support it well president obama couldn't get climate change through a democratic congress a few years ago the regulations on climate change are coming"
"MSNBC","NOW With Alex Wagner",2013-04-08 16:00:00,"it's a huge decision that that secretary kerry needs to make not only was his first speech as secretary passionate and eloquent about climate change but his previous 1,000 speeches on climate change as senator he's had a fantastic record as one of the strongest most eloquent and far sighted leaders on climate change and it's we think it's a huge opportunity for the secretary and his new position to say that this is a national security issue fighting climate change"
"CNN","Around the World",2013-04-09 16:00:00,"what do we know is this connected to climate change that is what they are putting it together with let me explain why that makes sense if this climate change model works why it happens"
"FOX News","Special Report With Bret Baier",2013-04-09 22:00:00,"the storm cancelled around 500 flights at the denver airport and caused major delays despite the weather americans are more worried now about global warming than in recent years but not nearly as much as at the turn of the century that's according to a new gallup poll tonight correspondent doug mckelway reports some climate change enthusiasts are worried about new climate change data"
"FOX News","Cavuto on Business",2013-05-04 20:00:00,"we do need a solution to global warming neil we're showing you pictures from this week ben it's all like orwell's 1984 big brother and environmentalists and pals in the white house say there is climate change there is a climate change"
"MSNBC","Hardball With Chris Matthews",2013-05-21 23:00:00,"including the home we're at right now yeah we were a family the corrales family that survived because of that again the question of climate and climate change"
"MSNBC","All In With Chris Hayes",2013-05-29 03:00:00,"he went further in recent dates he said there's no proof that climate change caused hurricane sandy that's just total red meat for the base i find it so disingenuous the claim is that climate change works the claim is that climate change works sea levels in new york city are up a foot before they were a hundred years ago they are set to rise five feet in the next 100 years it it takes someone who believes in climate change to believe in that"
"CNN","Piers Morgan Live",2013-05-30 04:00:00,"you can't really put it all into one pot and say this is changing the climate because the word is climate the word isn't weather it isn't weather change it's climate change"
"MSNBC","Morning Joe",2013-06-12 10:00:00,"it takes money to do it tell us about your storm protection plan the proposal that you put forward yesterday i think look the sea levels have risen a foot in the last century projections are they're still going to rise you can call it climate change or not climate change but there are certain things that are facts"
"MSNBC","First Look",2013-06-20 09:00:00,"do they need another fight right now do they need to stick with just one thing well it's impossible to stick with one thing but there are promises that are made at the beginning of an administration immigration reform is one and the climate change moves on climate change are another"
"FOX News","FOX and Friends Sunday",2013-06-23 10:00:00,"oh no a tragic story what we're learning about the two victims coming up while the white house faces another scandal after another scandal what will the president focus on this week climate change of course we have the breaking details for you moments away then an ar show stunt goes horribly wrong a wing walker gets killed when too close to the ground white house faces scandal after scandal what is the president going to focus on this week climate change if there's any video breaking news statement he comes out and he's interviewed here are your other headlines white house faces scandal after scandal the president ises about focusing this weekend on climate change georgetown university i'll lay out my vision to prepare our country for impacts of climate change and lead global efforts to fight it there's no one sickle step to fight climate change georgetown university i'll lay out my vision to prepare our country for impacts of climate change and lead global efforts to fight it there's no one sickle step to fight climate change but we owe our children to do what we can the president says his plan will focus on reducing pollution from carbon emissions his earlier attempts to push climate change through congress overnight"
"MSNBC","Morning Joe",2013-06-24 10:00:00,"the acela corridor we talk about them all the time i'm guilty of talking about them all the time guns climate change immigration nobody outside of the acela corridor are as obsessed on this and that's what barack obama is focusing on he is now jobs now first no he's focused on climate change tomorrow"
"FOX News","Special Report With Bret Baier",2013-06-25 22:00:00,"i want to ask two more quick things one the president said today and many people support him environmentalists on the left 12 warmest years in history have come in the last 15 years he went into a litany of problems from climate change down the road to his advisers and many scientists he said 97 of scientists are you concerned about climate change sure we all should be concerned about climate change"
"FOX News","Huckabee",2013-07-01 00:00:00,"the president says we have to work on climate change that most people believe will cost a lot of american jobs is this the right time to be costing americans jobs focusing on climate change is the question good question sure focusing on climate change is important and will be expensive focusing on climate change is the question good question sure focusing on climate change is important and will be expensive you know what's more expensive retrofitting everybody with gills in 100 years to breathe underwater at some point climate change will be amazingly expensive don't have enough savings for six months of expenses the same survey says more than 27 have no savings at all the president says we have to work on climate change that most people believe will cost a lot of american jobs is this the right time to be costing americans jobs focusing on climate change is the question"
"CNN","CNN Newsroom",2013-08-03 19:00:00,"one thing that worries me even more is that today's youth doesn't know what it's supposed to be like and figures that what it is today is what it's supposed to be do you think it's ocean acidification overfishing climate change what do you think i think you hit it on the head it's climate change acidification and it's pollution"
"MSNBC","Melissa Harris-Perry",2013-08-04 14:00:00,"the big question how serious is this latest terror threat to the homeland nightmare on the boardwalk a car plows through crowds vendor the young and the old in a seemingly intentional attack on the west coast we will hear from a witness climate change"
